rl
25
26
26
26
24
27
28
31
27
28
31
31
26
27
26
29
27
24
28
25
25
26
26
26
24
27
28
31
27
28
31
32
26
27
26
29
27
24
28
25
25
26
26
26
24
27
28
31
27
28
31
31
26
27
26
29
27
24
28
25
25
26
26
26
24
27
28
31
27
28
31
31
26
27
26
29
27
24
28
25
25
26
26
26
24
27
28
31
27
28
31
31
26
27
26
29
27
24
28
25
25
