rl
80
82
72
79
79
74
77
77
115
90
79
83
86
76
85
85
91
72
68
81
80
82
72
79
79
74
75
77
118
90
79
83
86
76
85
85
91
72
68
81
80
82
72
79
79
74
76
77
117
90
79
83
86
76
85
85
91
72
68
81
80
82
72
79
79
74
76
79
115
90
79
83
86
76
85
85
91
72
68
81
80
82
72
79
79
74
75
77
115
90
79
83
86
76
85
85
91
72
68
81
