rl
127
130
135
121
111
115
130
109
121
123
110
127
114
131
143
135
120
120
116
123
127
130
135
121
111
115
130
109
121
123
110
127
114
131
143
135
120
120
116
123
127
130
135
121
111
115
130
109
121
123
110
127
114
131
143
135
120
120
116
123
127
130
135
121
111
115
130
109
121
123
110
127
114
131
143
135
120
120
116
123
127
130
135
121
111
115
130
109
121
123
110
127
114
131
143
135
120
120
116
123
